"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","last_modified","latitude","longitude"
"143",9676551,22249835,"Private room",NA,"Jamaica Plain",117,5,2,1,76,NA,"2017-01-14 08:12:02.055119",42.31613,-71.105051
"144",1544702,6608084,"Private room",NA,"Dorchester",261,5,3,1,77,NA,"2017-01-14 08:12:02.035171",42.309449,-71.04555
"145",1161210,3887707,"Private room",NA,"West Roxbury",171,4.5,4,1,60,NA,"2017-01-14 08:11:44.157677",42.271761,-71.167592
"146",1179399,6430732,"Private room",NA,"Dorchester",105,5,2,1,60,NA,"2017-01-14 08:10:50.465827",42.295244,-71.065448
"147",1884045,9663343,"Private room",NA,"Roxbury",184,4.5,2,1,60,NA,"2017-01-14 08:10:48.705949",42.32657,-71.082798
"148",1850260,9663343,"Private room",NA,"Roxbury",166,4.5,4,1,58,NA,"2017-01-14 08:10:47.040452",42.326108,-71.081813
"149",1136972,1480518,"Private room",NA,"Jamaica Plain",301,5,2,1,50,NA,"2017-01-14 08:10:44.268380",42.294442,-71.119945
"150",1885825,92630065,"Private room",NA,"Jamaica Plain",114,5,3,1,50,NA,"2017-01-14 08:10:42.994144",42.30968,-71.117597
"151",7692933,9508341,"Private room",NA,"Brighton",113,5,1,1,59,NA,"2017-01-14 08:10:30.692745",42.35568,-71.162145
"152",1936861,10021116,"Private room",NA,"Roslindale",156,5,1,1,51,NA,"2017-01-14 08:11:21.472796",42.289972,-71.136146
"153",4015972,14303759,"Private room",NA,"Jamaica Plain",119,5,2,1,60,NA,"2017-01-14 08:08:19.982097",42.32162,-71.10551
"154",8153848,28820575,"Private room",NA,"Roxbury",116,4,2,1,58,NA,"2017-01-14 08:08:15.790827",42.330182,-71.093374
"155",3021446,113091,"Private room",NA,"Jamaica Plain",123,4.5,2,1,50,NA,"2017-01-14 08:08:15.210327",42.318459,-71.106844
"156",5734770,27015747,"Private room",NA,"South End",113,5,2,1,60,NA,"2017-01-14 08:08:14.590854",42.34708,-71.073611
"157",5085125,5235073,"Private room",NA,"Allston",142,4.5,2,1,50,NA,"2017-01-14 08:08:13.962976",42.350732,-71.127716
"158",3987926,1480518,"Private room",NA,"Jamaica Plain",192,5,2,1,50,NA,"2017-01-14 08:08:12.882441",42.295587,-71.119416
"159",8172380,28820575,"Private room",NA,"Roxbury",128,4.5,2,1,49,NA,"2017-01-14 08:08:12.859425",42.329541,-71.093128
